scenario,month,new_clients,active_clients,setup_THB,recurring_THB,total_rev_THB,costs_THB,net_profit_THB,cumulative_THB
Conservative,1,0,0,0,0,0,5000,-5000,-5000
Conservative,2,1,1,16000,7000,23000,5395,17605,12605
Conservative,3,1,2,16000,13650,29650,5542,24108,36713
Conservative,4,1,3,16000,19968,35968,5682,30285,66998
Conservative,5,2,5,32000,32969,64969,8710,56259,123257
Conservative,6,2,6,32000,45321,77321,8984,68337,191594
Conservative,7,2,8,32000,57055,89055,12743,76311,267906
Conservative,8,2,10,32000,68202,100202,12990,87212,355117
Conservative,9,3,12,48000,85792,133792,13620,120172,475289
Conservative,10,3,15,48000,102502,150502,13990,136513,611802
Conservative,11,3,17,48000,118377,166377,14341,152036,763838
Conservative,12,3,19,48000,133458,181458,14675,166783,930621
Conservative,13,3,21,48000,147785,195785,29992,165793,1096414
Conservative,14,3,23,48000,161396,209396,30294,179102,1275516
Conservative,15,3,25,48000,174326,222326,30580,191746,1467262
Conservative,16,3,27,48000,186610,234610,30852,203758,1671020
Conservative,17,3,28,48000,198279,246279,31110,215169,1886189
Conservative,18,2,29,32000,202365,234365,30961,203405,2089594
Conservative,19,2,29,32000,206247,238247,31047,207200,2296794
Conservative,20,2,30,32000,209935,241935,31129,210806,2507600
Conservative,21,2,30,32000,213438,245438,31206,214232,2721832
Conservative,22,2,31,32000,216766,248766,31280,217486,2939319
Conservative,23,2,31,32000,219928,251928,31350,220578,3159897
Conservative,24,2,32,32000,222931,254931,31416,223515,3383412
Base,1,1,1,16000,7000,23000,5395,17605,17605
Base,2,1,2,16000,13720,29720,5544,24176,41781
Base,3,2,4,32000,27171,59171,6082,53090,94871
Base,4,2,6,32000,40084,72084,6368,65717,160588
Base,5,3,8,48000,59481,107481,9537,97944,258531
Base,6,3,11,48000,78102,126102,9949,116152,374684
Base,7,3,14,48000,95978,143978,13845,130132,504816
Base,8,4,17,64000,120139,184139,14620,169518,674335
Base,9,4,20,64000,143333,207333,30134,177199,851534
Base,10,4,24,64000,165600,229600,30627,198973,1050507
Base,11,4,27,64000,186976,250976,31100,219876,1270382
Base,12,4,30,64000,207497,271497,31555,239942,1510324
Base,13,5,33,80000,234197,314197,32386,281811,1792135
Base,14,5,37,80000,259829,339829,32953,306876,2099011
Base,15,5,41,80000,284436,364436,33498,330938,2429948
Base,16,4,43,64000,301058,365058,33626,331432,2761381
Base,17,4,45,64000,317016,381016,46980,334036,3095417
Base,18,4,47,64000,332335,396335,47319,349017,3444433
Base,19,4,50,64000,347042,411042,47645,363397,3807831
Base,20,4,52,64000,361160,425160,47957,377203,4185034
Base,21,4,54,64000,374714,438714,48257,390457,4575491
Base,22,3,54,48000,380725,428725,48150,380575,4956066
Base,23,3,55,48000,386496,434496,48278,386218,5342284
Base,24,3,56,48000,392036,440036,48401,391636,5733919
Optimistic,1,1,1,16000,7000,23000,5395,17605,17605
Optimistic,2,2,3,32000,20790,52790,5940,46850,64455
Optimistic,3,2,5,32000,34166,66166,6237,59930,124384
Optimistic,4,3,8,48000,54141,102141,6919,95222,219607
Optimistic,5,3,11,48000,73517,121517,9848,111669,331276
Optimistic,6,4,14,64000,99312,163312,10659,152653,483929
Optimistic,7,4,18,64000,124332,188332,14713,173619,657548
Optimistic,8,5,22,80000,155602,235602,30645,204957,862505
Optimistic,9,5,27,80000,185934,265934,31317,234617,1097122
Optimistic,10,6,32,96000,222356,318356,32364,285993,1383114
Optimistic,11,6,37,96000,257685,353685,33146,320540,1703654
Optimistic,12,6,42,96000,291955,387955,33905,354050,2057704
Optimistic,13,6,46,96000,325196,421196,47641,373555,2431259
Optimistic,14,6,51,96000,357440,453440,48355,405086,2836345
Optimistic,15,6,56,96000,388717,484717,49047,435670,3272015
Optimistic,16,6,60,96000,419056,515056,49719,465337,3737351
Optimistic,17,6,64,96000,448484,544484,50371,494113,4231465
Optimistic,18,6,68,96000,477029,573029,51003,522027,4753491
Optimistic,19,5,71,80000,497719,577719,51221,526498,5279989
Optimistic,20,5,74,80000,517787,597787,51665,546122,5826111
Optimistic,21,5,77,80000,537253,617253,52096,565157,6391268
Optimistic,22,5,79,80000,556136,636136,52514,583621,6974889
Optimistic,23,5,82,80000,574452,654452,52920,601532,7576421
Optimistic,24,5,85,80000,592218,672218,53313,618905,8195326
